"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Actinostromatida"
"Access Time","Fri 2026-01-02 02:55:04 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Actinostromatida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.108"
"Records Found","500"
"Records Returned","500"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"722738","occ","","","77536","Actinostromella sp.","genus","3342","","Actinostromella","genus","3342","Homerian","","430.6","426.7","26230"
"722739","occ","","","77536","Densastroma podolicum","genus","3370","species not entered","Densastroma","genus","3370","Homerian","","430.6","426.7","26230"
"724360","occ","","","77788","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Givetian","Frasnian","387.95","372.15","26272"
"730483","occ","","","78493","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Eifelian","","393.47","387.95","26393"
"731589","occ","","","78493","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26393"
"731591","occ","","","78569","Actinostroma conglomeratum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26415"
"731592","occ","","","78569","Actinostroma couvinense","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26415"
"731593","occ","","","78569","Actinostroma geminatum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26415"
"731594","occ","","","78569","Actinostroma reversum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26415"
"731595","occ","","","78569","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Eifelian","","393.47","387.95","26415"
"731596","occ","","","78569","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","26415"
"733676","occ","","","78710","Actinostroma ex gr. intertextum","species","333474","recombined as","Plectostroma intertextum","species","333474","Llandovery","","443.1","432.9","26470"
"733738","occ","","","78717","Actinostroma aff. jurmanense","genus","3341","species not entered","Actinostroma","genus","3341","Wenlock","","432.9","426.7","26470"
"735583","occ","","","78969","Plectostroma sumsarense n. sp.","genus","3416","species not entered","Plectostroma","genus","3416","Llandovery","","443.1","432.9","26528"
"735598","occ","","","78972","Actinostroma ? intermedium","genus","3341","species not entered","Actinostroma","genus","3341","Ludfordian","","425","422.7","26528"
