"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporida"
"Access Time","Fri 2026-01-02 02:57:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0312"
"Records Found","560"
"Records Returned","560"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"410666","occ","","","39663","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","10565"
"417830","occ","","","40524","Stromatopora cf. hupschii","species","468316","misspelling of, recombined as","Stromatopora huepschii","species","424975","Emsian","","410.62","393.47","10922"
"418871","occ","","","40666","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Late Devonian","","382.31","358.86","10955"
"422969","occ","","","41157","Stromatopora cf. constellata","genus","3442","species not entered","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"422979","occ","","","41164","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"422980","occ","","","41165","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"426966","occ","","","41631","Stromatopora constellata","genus","3442","species not entered","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"426984","occ","","","41639","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"426985","occ","","","41640","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Ludlow","Pridoli","426.7","419.62","10968"
"459945","occ","","","45306","Salairella prima","species","118296","","Salairella prima","species","118296","Emsian","","410.62","393.47","11789"
"459946","occ","","","45306","Glyptostromoides simplex","genus","3384","species not entered","Glyptostromoides","genus","3384","Emsian","","410.62","393.47","11789"
"463601","occ","","","45791","Stromatopora aff. fedorovi","genus","3442","species not entered","Stromatopora","genus","3442","Early Emsian","","410.62","399.5","12132"
"464063","occ","","","45830","Stromatopora ex gr. concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Emsian","413.02","393.47","12132"
"464064","occ","","","45830","Stromatopora ex gr. dybowskii","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","Emsian","413.02","393.47","12132"
"465296","occ","","","46025","Stromatopora indet.","genus","3442","","Stromatopora","genus","3442","Emsian","","410.62","393.47","12269"
"572835","occ","","","60148","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Givetian","","387.95","385.9","17286"
"572870","occ","","","60159","? Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Early Givetian","","387.95","385.9","17286"
"572976","occ","","","60177","Stromatopora indet.","genus","3442","","Stromatopora","genus","3442","Late Givetian","Frasnian","383.4","372.15","17286"
"572980","occ","","","60179","Taleastroma pachytextum","genus","3451","species not entered","Taleastroma","genus","3451","Late Givetian","Frasnian","383.4","372.15","17286"
"572981","occ","","","60179","? Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Late Givetian","Frasnian","383.4","372.15","17286"
"573532","occ","","","60287","Syringostromella foliis","genus","3450","species not entered","Syringostromella","genus","3450","Ludfordian","","425","422.7","17337"
"574849","occ","","","60418","Stromatopora rarissima","genus","3442","species not entered","Stromatopora","genus","3442","Wenlock","","432.9","426.7","17382"
"574929","occ","","","60429","Syringostromella columnaris","genus","3450","species not entered","Syringostromella","genus","3450","Pragian","","413.02","410.62","17382"
"574940","occ","","","60433","Syringostromella columnaris","genus","3450","species not entered","Syringostromella","genus","3450","Pragian","","413.02","410.62","17382"
"574961","occ","","","60435","Syringostromella columnaris","genus","3450","species not entered","Syringostromella","genus","3450","Pragian","","413.02","410.62","17382"
"574963","occ","","","60435","""Stromatopora"" compta","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","","413.02","410.62","17382"
"582081","occ","","","61262","? Stromatoporida indet.","order","108080","","Stromatoporida","order","108080","Carnian","","237","227.3","17531"
"589077","occ","","","62145","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","17951"
"589086","occ","","","62146","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","17951"
"589208","occ","","","62168","Salairella buecheliensis","genus","3430","species not entered","Salairella","genus","3430","Eifelian","","393.47","387.95","17955"
"589213","occ","","","62169","Salairella buecheliensis","genus","3430","species not entered","Salairella","genus","3430","Eifelian","","393.47","387.95","17955"
"589222","occ","","","62171","Stromatopora huepschii","species","424976","","Stromatopora huepschii","species","424975","Eifelian","","393.47","387.95","17955"
"589223","occ","","","62171","Salairella buecheliensis","genus","3430","species not entered","Salairella","genus","3430","Eifelian","","393.47","387.95","17955"
"589242","occ","","","62173","Salairella buecheliensis","genus","3430","species not entered","Salairella","genus","3430","Early Givetian","","387.95","385.9","17955"
"596942","occ","","","63277","Stromatopora polaris","genus","3442","species not entered","Stromatopora","genus","3442","Lochkovian","Pragian","419.62","410.62","18200"
"596943","occ","","","63277","Syringostromella labyrinthea n. sp.","genus","3450","species not entered","Syringostromella","genus","3450","Lochkovian","Pragian","419.62","410.62","18200"
"596988","occ","","","63286","Stromatopora polaris","genus","3442","species not entered","Stromatopora","genus","3442","Lochkovian","Pragian","419.62","410.62","18200"
"621687","occ","","","66955","Stromatopora hensoni","species","133844","","Stromatopora hensoni","species","133844","Eifelian","","393.47","387.95","19072"
"621688","occ","","","66955","Stromatopora polaris","genus","3442","species not entered","Stromatopora","genus","3442","Eifelian","","393.47","387.95","19072"
"621689","occ","","","66955","Salairella prima","species","118296","","Salairella prima","species","118296","Eifelian","","393.47","387.95","19072"
"621691","occ","","","66955","Pseudotrupetostroma sp.","genus","3425","","Pseudotrupetostroma","genus","3425","Eifelian","","393.47","387.95","19072"
"657738","occ","","","69662","<Stromatoporida> indet.","order","108080","species not entered","Stromatoporida","order","108080","Julian","","237","233.6","23366"
"657739","occ","","","69664","<Stromatoporida> indet.","order","108080","species not entered","Stromatoporida","order","108080","Julian","","237","233.6","23366"
"663551","occ","","","71457","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663552","occ","","","71457","Stromatopora cf. buecheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663553","occ","","","71457","cf. Stromatopora cf. laminosa","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663558","occ","","","71458","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
