"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporellida"
"Access Time","Fri 2026-01-02 02:57:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporellida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0182"
"Records Found","732"
"Records Returned","732"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"403231","occ","","","38689","Clathrocoilona irregularis","genus","3357","species not entered","Clathrocoilona","genus","3357","Frasnian","","382.31","372.15","10391"
"403232","occ","","","38689","? Clathrocoilona pertabulata","genus","3357","species not entered","Clathrocoilona","genus","3357","Frasnian","","382.31","372.15","10391"
"403237","occ","","","38690","Stictostroma saginatum","species","424913","","Stictostroma saginatum","species","424912","Early Frasnian","","382.31","379","10391"
"407898","occ","","","39237","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Frasnian","","382.31","372.15","10601"
"407899","occ","","","39237","Dendrostroma oculatum","genus","3369","species not entered","Dendrostroma","genus","3369","Frasnian","","382.31","372.15","10601"
"407900","occ","","","39237","Hermatostroma ambiguum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","10601"
"407901","occ","","","39237","Hermatostroma perseptatum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","10601"
"407902","occ","","","39237","Hermatostroma schlueteri","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","10601"
"407908","occ","","","39237","Stromatoporella laminata","genus","3443","species not entered","Stromatoporella","genus","3443","Frasnian","","382.31","372.15","10601"
"407909","occ","","","39237","Trupetostroma bassleri","genus","3454","species not entered","Trupetostroma","genus","3454","Frasnian","","382.31","372.15","10601"
"407910","occ","","","39238","Hermatostroma ambiguum","genus","3388","species not entered","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","10601"
"407912","occ","","","39239","Clathrocoilona saginata","genus","3357","species not entered","Clathrocoilona","genus","3357","Famennian","","372.15","358.86","10601"
