min_ma,max_ma,r_number,name,country,formation,system,series,intervall,time_slice,reliabilit,subsurface,type,thickness,m_thick,width,m_width,extension,m_ext,ext_belt
182.7,190.8,351,Jebel Bou Mokhta,Morocco,,Jurassic,Lower Jurassic,Pliensbachian,19,2,0,1,2,,,,3,,450
170.3,182.7,357,Touissite,Morocco,,Jurassic,Lower Jurassic,Toarcian/Aalenian,19,2,0,1,2,,,,2,,100
168.3,171.1,376,Touissite,Morocco,,Jurassic,Middle Jurassic,Aalenian/Bajocian,20,2,0,1,2,,,,2,,100
190.8,201.3,3233,Jebel Bou Mokhta,Morocco,,Jurassic,Lower Jurassic,Hettangian/Sinemurian,19,2,0,1,2,,,,3,,100
5.3,11.6,649,Lorca,Spain,,Neogene,Miocene,Tortonian/Messinian,32,2,0,1,2,80,,,2,,5
152.1,157.3,500,Frías de Albarracín,Spain,,Jurassic,Upper Jurassic,lower Kimmeridgian,21,3,0,1,1,2,1,5,3,,100
330.9,340,620,Jebel Ioucha,Algeria,Kebir,Carboniferous,Mississippian,upper Visean,12,3,0,3,3,120,,,4,,20
330.9,340,619,Taoudraras,Algeria,Kebir,Carboniferous,Mississippian,upper Visean,12,2,0,2,1,,,,2,,5
182.7,190.8,2424,"Jebel Melal, Khemis",Algeria,,Jurassic,Lower Jurassic,Carixian,19,3,0,4,1,7,,,2,,8
5.3,7.3,1980,"Traras, Orania",Algeria,,Neogene,Miocene,Messinian,32,3,0,2,2,,,,4,,12
251.9,254.1,199,"Aberford, England",United Kingdom,Cadeby,Permian,Lopingian,Zechstein 1,16,2,0,2,1,,,,2,,80
331,336,271,"Derbyshire, Great Britain",United Kingdom,,Carboniferous,Mississippian,Brigantian,12,3,0,1,2,,,,2,,31
152.1,157.3,2747,"Terriente, Celtiberian Range",Spain,,Jurassic,Upper Jurassic,lower Kimmeridgian,21,3,0,4,1,,,,1,,
145,157.3,501,Arroyo Cerezo,Spain,,Jurassic,Upper Jurassic,Kimmeridgian/Tithonian,21,2,0,1,2,,,,2,,30
387.7,407.6,2975,"Pic Ararca, Aldudes, Pyrenees",France,,Devonian,Lower Devonian,Emsian-Eifelian,9,2,0,1,1,,1,,1,,
152.1,157.3,502,Jabaloyas,Spain,,Jurassic,Upper Jurassic,Kimmeridgian,21,2,0,1,2,,,,2,,30
251.9,254.1,135,"E-Durham, England",United Kingdom,Ford,Permian,Lopingian,Zechstein 2,16,2,0,2,2,,,,4,,30
168.3,171.1,378,Jebel Klakh,Morocco,,Jurassic,Middle Jurassic,Aalenian/Bajocian,20,2,0,1,2,,,,2,,100
5.3,7.3,1979,"Sebaa Chioukh Hills, Orania",Algeria,,Neogene,Miocene,Messinian,32,3,0,1,2,,2,,3,1000,14
